Date의 연도,Missile Name,Missile Family,Launches
1984,Scud-B MaRV,,
2024,Scud-B,,
2023,Scud-B,,
2022,Scud-B,,
2021,Scud-B,,
2020,Scud-B,,
2019,Scud-B,,
2018,Scud-B,,
2017,Scud-B,,
2016,Scud-B,,
2015,Scud-B,,
2014,Scud-B,Short Range Ballistic Missile,4
2013,Scud-B,,
2012,Scud-B,,
2011,Scud-B,,
2010,Scud-B,,
2009,Scud-B,,
2008,Scud-B,,
2007,Scud-B,,
2006,Scud-B,,
2005,Scud-B,,
2004,Scud-B,,
2003,Scud-B,,
2002,Scud-B,,
2001,Scud-B,,
2000,Scud-B,,
1999,Scud-B,,
1998,Scud-B,,
1997,Scud-B,,
1996,Scud-B,,
1995,Scud-B,,
1994,Scud-B,,
1993,Scud-B,,
1992,Scud-B,,
1991,Scud-B,,
1990,Scud-B,,
1989,Scud-B,,
1988,Scud-B,,
1987,Scud-B,,
1986,Scud-B,,
1985,Scud-B,,
1984,Scud-B,Short Range Ballistic Missile,3
2024,Rail-mobile KN-23,,
2023,Rail-mobile KN-23,,
2022,Rail-mobile KN-23,Short Range Ballistic Missile,2
2021,Rail-mobile KN-23,Short Range Ballistic Missile,2
2020,Rail-mobile KN-23,,
2019,Rail-mobile KN-23,,
2018,Rail-mobile KN-23,,
2017,Rail-mobile KN-23,,
2016,Rail-mobile KN-23,,
2015,Rail-mobile KN-23,,
2014,Rail-mobile KN-23,,
2013,Rail-mobile KN-23,,
2012,Rail-mobile KN-23,,
2011,Rail-mobile KN-23,,
2010,Rail-mobile KN-23,,
2009,Rail-mobile KN-23,,
2008,Rail-mobile KN-23,,
2007,Rail-mobile KN-23,,
2006,Rail-mobile KN-23,,
2005,Rail-mobile KN-23,,
2004,Rail-mobile KN-23,,
2003,Rail-mobile KN-23,,
2002,Rail-mobile KN-23,,
2001,Rail-mobile KN-23,,
2000,Rail-mobile KN-23,,
1999,Rail-mobile KN-23,,
1998,Rail-mobile KN-23,,
1997,Rail-mobile KN-23,,
1996,Rail-mobile KN-23,,
1995,Rail-mobile KN-23,,
1994,Rail-mobile KN-23,,
1993,Rail-mobile KN-23,,
1992,Rail-mobile KN-23,,
1991,Rail-mobile KN-23,,
1990,Rail-mobile KN-23,,
1989,Rail-mobile KN-23,,
1988,Rail-mobile KN-23,,
1987,Rail-mobile KN-23,,
1986,Rail-mobile KN-23,,
1985,Rail-mobile KN-23,,
1984,Rail-mobile KN-23,,
2024,Pukguksong-3,,
2023,Pukguksong-3,,
2022,Pukguksong-3,,
2021,Pukguksong-3,,
2020,Pukguksong-3,,
2019,Pukguksong-3,Sub-Launched Ballistic Missile,1
2018,Pukguksong-3,,
2017,Pukguksong-3,,
2016,Pukguksong-3,,
2015,Pukguksong-3,,
2014,Pukguksong-3,,
2013,Pukguksong-3,,
2012,Pukguksong-3,,
2011,Pukguksong-3,,
2010,Pukguksong-3,,
2009,Pukguksong-3,,
2008,Pukguksong-3,,
2007,Pukguksong-3,,
2006,Pukguksong-3,,
2005,Pukguksong-3,,
2004,Pukguksong-3,,
2003,Pukguksong-3,,
2002,Pukguksong-3,,
2001,Pukguksong-3,,
2000,Pukguksong-3,,
1999,Pukguksong-3,,
1998,Pukguksong-3,,
1997,Pukguksong-3,,
1996,Pukguksong-3,,
1995,Pukguksong-3,,
1994,Pukguksong-3,,
1993,Pukguksong-3,,
1992,Pukguksong-3,,
1991,Pukguksong-3,,
1990,Pukguksong-3,,
1989,Pukguksong-3,,
1988,Pukguksong-3,,
1987,Pukguksong-3,,
1986,Pukguksong-3,,
1985,Pukguksong-3,,
1984,Pukguksong-3,,
2024,Pukguksong-2,,
2023,Pukguksong-2,,
2022,Pukguksong-2,,
2021,Pukguksong-2,,
2020,Pukguksong-2,,
2019,Pukguksong-2,,
2018,Pukguksong-2,,
2017,Pukguksong-2,Medium Range Ballistic Missile,2
2016,Pukguksong-2,,
2015,Pukguksong-2,,
2014,Pukguksong-2,,
2013,Pukguksong-2,,
2012,Pukguksong-2,,
2011,Pukguksong-2,,
2010,Pukguksong-2,,
2009,Pukguksong-2,,
2008,Pukguksong-2,,
